processing first filelearned.txt
日,L,12,0.021873898222561028,0.0218739
大,L,112,0.010556033335678623,0.0324299
年, , ,0.009728107252237087,0.0324299
人, , ,0.008839513753574387,0.0324299
国,L,624,0.008718082010328192,0.041148
会,L,814,0.008035137481472695,0.0491832
中,L,39,0.006902032978651854,0.0560852
本,L,224,0.006787385131676395,0.0628726
月,L,13,0.0063108648750590446,0.0691834
時,L,171,0.006280821905860066,0.0754643
上,L,50,0.005843066770789783,0.0813073
市,L,440,0.005673857015236825,0.0869812
発, , ,0.005579270118661975,0.0869812
分,L,844,0.005441363198758276,0.0924225
者, , ,0.005392131494393497,0.0924225
東,L,543,0.005350071337514927,0.0977726
出,L,829,0.005347260866202764,0.10312
同,L,192,0.005286690363785468,0.108407
地,L,554,0.005193363333660899,0.1136
長, , ,0.0047437848365187605,0.1136
前,L,309,0.004547051844667383,0.118147
事, , ,0.00447049072961192,0.118147
場,L,584,0.00431804688912807,0.122465
後, , ,0.0042854841870285315,0.122465
行,L,938,0.0042700750512135715,0.126735
手,L,687,0.004214931665812865,0.13095
一,L,1,0.004194289238589051,0.135144
子,L,99,0.004162889490135924,0.139307
表, , ,0.004159594454804423,0.139307
高,L,329,0.004154554989003304,0.143462
勝, , ,0.004038550362773698,0.143462
見,L,61,0.0038960885410882183,0.147358
内, , ,0.003895797802676615,0.147358
円, , ,0.0038695344328284757,0.147358
部, , ,0.003847825964762117,0.147358
合,L,269,0.0038446278422344837,0.151202
県,L,552,0.003839103812414026,0.155042
戦, , ,0.003748005776778413,0.155042
度, , ,0.0037219362325380087,0.155042
定,L,408,0.003667277411156641,0.158709
回,L,630,0.0036619472069439186,0.162371
開, , ,0.0036357807498996466,0.162371
選, , ,0.0034854689911008848,0.162371
間, , ,0.0034642450870538645,0.162371
田,L,14,0.0034451532646919327,0.165816
米,L,987,0.003368979800851941,0.169185
京,L,334,0.0032533628258378062,0.172438
生, , ,0.0032477418832134813,0.172438
明,L,20,0.003179999833309977,0.175618
約, , ,0.0031692425120806657,0.175618
自,L,36,0.0031642030462795466,0.178783
新, , ,0.0031612956621635165,0.178783
安,L,202,0.0031389088044700836,0.181921
連,L,305,0.003130768128945199,0.185052
決, , ,0.0031151651675225037,0.185052
位, , ,0.0030852191111273926,0.185052
目,L,15,0.0030658365503538577,0.188118
入,L,842,0.0030318201561963043,0.19115
業, , ,0.003024454783102361,0.19115
震, , ,0.002914652576320287,0.19115
方,L,529,0.0029117451922042567,0.194062
北,L,480,0.00290408908069871,0.196966
性, , ,0.0028919749802152513,0.196966
対, , ,0.0028843188687097047,0.196966
最,L,884,0.002876856582811894,0.199843
報, , ,0.002871332552991437,0.199843
気, , ,0.002863773354289758,0.199843
山,L,830,0.0028429371014582084,0.202685
議,L,692,0.0027915733154083413,0.205477
全,L,281,0.002775873441181778,0.208253
関, , ,0.0027585260492894643,0.208253
員,L,59,0.0027234436142893666,0.210976
相,L,222,0.0027186948868998507,0.213695
島, , ,0.0027037703151042286,0.213695
通, , ,0.0027027042742616843,0.213695
社, , ,0.0026345745731427097,0.213695
以, , ,0.002608698854510041,0.213695
野, , ,0.0025734225939022075,0.213695
代, , ,0.002549872782562363,0.213695
今, , ,0.002532040826650711,0.213695
政,L,407,0.0024490834665399823,0.216144
川,L,134,0.002445885344012349,0.21859
学,L,346,0.0024345465459598313,0.221025
共, , ,0.0024308638594128596,0.221025
下,L,51,0.0023963629012359678,0.223421
女,L,102,0.0023892882665536275,0.22581
体, , ,0.002364575501567371,0.22581
点,L,181,0.0023355016604070687,0.228146
金,L,287,0.0023305591074098174,0.230476
立,L,462,0.0022960581492329256,0.232772
民, , ,0.002257002289274253,0.232772
万,L,68,0.002252931951511811,0.235025
打,L,705,0.002250993695434457,0.237276
取,L,882,0.0022458573168294706,0.239522
調,L,373,0.00224294993271344,0.241765
動, , ,0.0022196908597851986,0.241765
法,L,813,0.002216589650061433,0.243982
男,L,923,0.0022034095087354296,0.246185
力,L,922,0.0021732696267325827,0.248358
初,L,431,0.002166679556069581,0.250525
氏, , ,0.0021151219444119785,0.250525
第, , ,0.0021115361706688747,0.250525
的,L,73,0.002099518982989283,0.252625
指,L,711,0.0020972899885003267,0.254722
続, , ,0.0020815901142737635,0.254722
原,L,142,0.002052128621897991,0.256774
予, , ,0.0020397237830029284,0.256774
都, , ,0.0020392392189835904,0.256774
強, , ,0.002030129415420029,0.256774
経, , ,0.002026155990461454,0.256774
所, , ,0.0020197597454061876,0.256774
午,L,610,0.002018209140544305,0.258792
実, , ,0.0019716909946878216,0.258792
道,L,295,0.001964325621593878,0.260756
海,L,500,0.001956378771676729,0.262713
外,L,116,0.0019503701778369334,0.264663
首,L,74,0.0019239129823810585,0.266587
心,L,639,0.0019211025110688958,0.268508
公,L,847,0.0019190673421876747,0.270427
機, , ,0.0019174198245219243,0.270427
風,L,563,0.0019168383476987183,0.272344
当, , ,0.0019008477350605521,0.272344
意,L,654,0.0018590783165935848,0.274203
小,L,110,0.0018583030141626432,0.276062
制,L,447,0.0018528758971460535,0.277914
現,L,275,0.0018525851587344506,0.279767
主,L,284,0.0018329118595493128,0.2816
平, , ,0.001824868096828296,0.2816
化, , ,0.0018233174919664132,0.2816
期, , ,0.001822445276731604,0.2816
用, , ,0.0018020935879193925,0.2816
成,L,386,0.0017832925039690639,0.283383
務, , ,0.001777671561344739,0.283383
進,L,603,0.0017550908780435707,0.285138
党,L,860,0.001754412488416497,0.286893
警,L,358,0.0017448181208335974,0.288638
台,L,805,0.001742007649521435,0.29038
