processing first filelearned.txt
笑,L,1008,0.02915489660772425,0.0291549
日,L,12,0.023845901200870854,0.0530008
今,X, ,0.01345389951689701,0.0530008
人,L,1023,0.011658280447612402,0.0646591
大,L,112,0.00970104066944757,0.0743601
行,L,938,0.008892437370226167,0.0832526
時,L,171,0.008664149368319902,0.0919167
一,L,1,0.008026662119564142,0.0999434
気,X, ,0.007408865210727617,0.0999434
市,L,440,0.007280528172878386,0.107224
見,L,61,0.006434743115027767,0.113659
県,L,552,0.005819345029328612,0.119478
間,X, ,0.005723392103833859,0.119478
東,L,543,0.005710398478506445,0.125188
出,L,829,0.005677014856511396,0.130865
本,L,224,0.005668319122638434,0.136534
中,L,39,0.005661422506118498,0.142195
分,L,844,0.005464818959818313,0.14766
最,L,884,0.0054632197443934,0.153123
言,L,357,0.005413344213328941,0.158537
思,L,651,0.005287505949581136,0.163824
前,L,309,0.005266316345201044,0.16909
京,L,334,0.005254222278550143,0.174345
事,X, ,0.005049222851269167,0.174345
生,X, ,0.004954069533486871,0.174345
会,L,814,0.00469939447706955,0.179044
来,X, ,0.004616235274974098,0.179044
楽,X, ,0.004483000639886072,0.179044
駅,X, ,0.0044067380543105555,0.179044
明,L,20,0.004378651833410529,0.183423
都,X, ,0.004189344707486507,0.183423
高,L,329,0.004182747943858743,0.187605
店,L,632,0.004172253092632755,0.191778
田,L,14,0.004103386878397459,0.195881
子,L,99,0.004091492713674671,0.199972
俺,X, ,0.0038512105960815625,0.199972
月,L,13,0.003812129769135262,0.203785
上,L,50,0.003693687876727677,0.207478
方,L,529,0.003618224898864617,0.211097
学,L,346,0.0035926374520660162,0.214689
食,X, ,0.003579743777702659,0.214689
目,L,15,0.003576645297816891,0.218266
自,L,36,0.0035632518686332486,0.221829
新,X, ,0.0035450607931748683,0.221829
寝,X, ,0.0035228716791542067,0.221829
入,L,842,0.0034905875177637853,0.22532
年,X, ,0.0034648001690370705,0.22532
張,X, ,0.003365149057872208,0.22532
何,X, ,0.003309276468964326,0.22532
合,L,269,0.0032744935334724783,0.228594
区,X, ,0.0032478066260692505,0.228594
回,L,630,0.003202029084531129,0.231796
好,L,103,0.003196032026687707,0.234992
帰,X, ,0.003165047227830027,0.234992
無,X, ,0.003055600922187575,0.234992
愛,L,796,0.0030546014125470045,0.238047
手,L,687,0.0030339115629871983,0.241081
川,L,134,0.0030290139657484037,0.24411
感,L,662,0.0029749404941935486,0.247085
山,L,830,0.0029534510369212865,0.250038
全,L,281,0.0029059743289941956,0.252944
後,X, ,0.0029041752116411687,0.252944
良,X, ,0.0028787876667706823,0.252944
頑,L,65,0.002857698013354648,0.255802
下,L,51,0.0027460527865029415,0.258548
神,X, ,0.002738456513234607,0.258548
話,L,368,0.002613118004307087,0.261161
近,X, ,0.0025709386974750188,0.261161
車,L,304,0.0025411533101860227,0.263702
知,X, ,0.0025394541437970533,0.263702
名,L,117,0.002526960273289924,0.266229
終,X, ,0.0025022723851678367,0.266229
当,X, ,0.0024389034739556773,0.266229
味,L,233,0.0023950250007346396,0.268624
仕,L,1033,0.0023847300514367653,0.271009
家,L,580,0.0023825311302275104,0.273391
部,X, ,0.0023823312282993964,0.273391
買,L,894,0.0023678383385111264,0.275759
体,L,1030,0.002345849126418579,0.278105
野,X, ,0.002340651676287613,0.278105
阪,X, ,0.00230706815236445,0.278105
女,L,102,0.002259791346365473,0.280365
屋,X, ,0.0022574924741921615,0.280365
先,L,263,0.002226407724370424,0.282591
場,L,584,0.002220610568455116,0.284812
金,L,287,0.002214713461575751,0.287027
雨,L,451,0.002137151513467493,0.289164
校,X, ,0.0021212593101824244,0.289164
通,X, ,0.0020950721575994815,0.289164
度,X, ,0.0020670858876635123,0.289164
変,X, ,0.0020627879962090596,0.289164
達,L,591,0.002047995253528619,0.291212
地,L,554,0.0020477953516005046,0.29326
早,L,26,0.002027805158789098,0.295287
真,L,79,0.0020266057472204135,0.297314
同,L,192,0.0020229075615503032,0.299337
理,L,283,0.0020088144756182616,0.301346
様,L,1003,0.001992622419441022,0.303338
長,X, ,0.0019901236453395963,0.303338
定,L,408,0.0019784293825449236,0.305317
久,X, ,0.001968134433247049,0.305317
画,X, ,0.0019672348745705358,0.305317
電,L,574,0.0019661354139659084,0.307283
朝,L,53,0.0019440462509093038,0.309227
美,L,587,0.0019387488498142811,0.311166
岡,X, ,0.001938249094993996,0.311166
代,X, ,0.001935450468000399,0.311166
動,X, ,0.0019289536553366918,0.311166
可,L,97,0.0019106626289142547,0.313076
私,L,968,0.001909163364453399,0.314985
作,X, ,0.001908763560597171,0.314985
爆,X, ,0.0018964695920181559,0.314985
意,L,654,0.0018745803308896655,0.31686
休,L,1038,0.0018711819981117265,0.318731
強,X, ,0.0018618865584544223,0.318731
疲,X, ,0.0018542902851860876,0.318731
点,L,181,0.0018437954339600993,0.320575
小,L,110,0.0018320012202013693,0.322407
国,L,624,0.0018161090169163008,0.324223
持,L,712,0.0018157092130600728,0.326039
島,X, ,0.001807613184971453,0.326039
対,X, ,0.0017829252968493657,0.326039
誰,L,598,0.0017760286803294304,0.327815
緒,X, ,0.0017696318186297803,0.327815
北,L,480,0.001751340792207343,0.329566
面,X, ,0.001744843979543636,0.329566
道,L,295,0.0017143589355062406,0.331281
多,L,113,0.001703864084280252,0.332984
風,L,563,0.0017029645256037389,0.334687
勝,X, ,0.001697567173544659,0.334687
悪,X, ,0.0016962678110119176,0.334687
水,L,137,0.001688871439671697,0.336376
番,X, ,0.0016797759019425071,0.336376
夜,X, ,0.001670980217105488,0.336376
